"geojson","name","group_name","coverage","status","location","values"
"{""type"":""Polygon"",""coordinates"":[[[-117.2439,32.86913],[-117.2373,32.87115],[-117.23128,32.86213],[-117.23291,32.85459],[-117.23621,32.85268],[-117.24141,32.85375],[-117.2439,32.86913]]]}","512-1-1","None","In Car","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-116.92278,32.84397],[-116.92159,32.83591],[-116.91026,32.8312],[-116.90249,32.84076],[-116.91422,32.84631],[-116.92278,32.84397]]]}","514-15-2","None","In Car/No Coverage","No Solution","Suburban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.11907,32.67199],[-117.11132,32.66209],[-117.10833,32.65001],[-117.12024,32.65302],[-117.11907,32.67199]]]}","525-4-1","SD64XC027","In Car/No Coverage","Approved","Urban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.14748,32.73168],[-117.14102,32.72632],[-117.13711,32.72179],[-117.14492,32.71914],[-117.14863,32.72293],[-117.15195,32.72309],[-117.15392,32.72886],[-117.15764,32.73505],[-117.15139,32.7391],[-117.14749,32.73902],[-117.14748,32.73168]]]}","523-2-1","SD73XC101/SD74XC114","In Car","Approved/Not approved","Urban","None"
"{""type"":""Polygon"",""coordinates"":[[[-117.32304,33.48956],[-117.3466,33.45305],[-117.32686,33.41041],[-117.24036,33.39135],[-117.22982,33.4448],[-117.23969,33.45993],[-117.1734,33.48148],[-117.20282,33.52952],[-117.25811,33.51422],[-117.27536,33.51124],[-117.32304,33.48956]]]}","502-1-3","SD72XC045","No coverage","Approved","In Car","292,613,621-23,625-26,628-29,632-33,640-41,643,636,355,317."
"{""type"":""Polygon"",""coordinates"":[[[-116.99774,32.66197],[-117.00336,32.66217],[-116.99617,32.65288],[-116.99122,32.64871],[-116.9874,32.64454],[-116.98133,32.64568],[-116.97863,32.6489],[-116.982,32.65648],[-116.9865,32.65913],[-116.99774,32.66197]]]}","527-2-1","SD54XC452 and SD33XC020","In Car/No Coverage","Approved","Suburban","10028 and 251"
"{""type"":""Polygon"",""coordinates"":[[[-117.25208,33.32861],[-117.23971,33.32027],[-117.23274,33.29204],[-117.24128,33.28048],[-117.26579,33.27271],[-117.27299,33.27479],[-117.26917,33.32292],[-117.26624,33.32804],[-117.25208,33.32861]]]}","502-7-1","SD74XC118","In Car/No Coverage","Not Approved","Suburban","289,291,293,2937"
"{""type"":""Polygon"",""coordinates"":[[[-117.25052,32.83146],[-117.25837,32.831],[-117.27234,32.82916],[-117.25095,32.81281],[-117.23881,32.80807],[-117.23386,32.80978],[-117.23431,32.81925],[-117.25049,32.83151],[-117.25049,32.8315],[-117.25052,32.83145],[-117.25052,32.83146]]]}","515-1-1","SD55XC009","in Car/No Coverage","Approved","Suburban","256,266,10035"
"{""type"":""Polygon"",""coordinates"":[[[-117.22176,33.0507],[-117.23953,33.02455],[-117.23975,33.02304],[-117.24155,33.00693],[-117.22783,32.99973],[-117.22852,32.99544],[-117.23588,32.99557],[-117.22443,32.987],[-117.21237,32.99639],[-117.21434,32.99916],[-117.20445,32.99973],[-117.18691,33.00731],[-117.17769,33.02455],[-117.18691,33.03346],[-117.18151,33.04369],[-117.20692,33.04767],[-117.22176,33.0507]]]}","507-4-1","RSF DAS","IN Car/No Coverage","Approved","Suburban","299,306,313"
"{""type"":""Polygon"",""coordinates"":[[[-117.04946,33.36916],[-117.01618,33.36518],[-116.9784,33.33562],[-116.96491,33.30075],[-116.97008,33.28957],[-116.99302,33.26721],[-117.03102,33.26664],[-117.02967,33.3072],[-117.00854,33.31951],[-117.04991,33.35609],[-117.04946,33.36916]]]}","502-11-2","SD72XC029,SD72XC016","No Coverage","Approved","In Car","337,377-78,2016."
